Subject,Session,state,Phi,Phi_z,Phi_max,Phi_z_max,TR
13,4,16.2722859208759,1270.51088922942,0.844117331167609,13566.3527009111,6.71101623686047,2.22234273318872
14,1,16.0394557823129,1975.89728350049,1.21787624079853,19779.7101626939,8.68433216743881,2.22244897959184
14,2,16.4293889229512,1854.82321461067,1.03932403452689,18263.4391818455,7.39192416390198,2.22317596566524
14,3,16.73060634232,2126.8154637837,0.933628147473035,22214.2346221909,6.15510966496391,2.22234273318872
14,4,16.7390791027155,1508.91761654664,1.06159830949138,16617.6861523967,7.89068275651863,2.22314049586777
15,1,16.5185414729883,1607.18336521227,1.02407650410991,16131.2159460954,7.45535041919235,2.22234273318872
15,2,16.6767857142857,1672.02049738691,0.899866000875275,17194.311332625,6.43727994897158,2.22291666666667
15,3,16.5622790600957,1395.14970556665,0.86224277950862,16311.906041572,6.95624197482433,2.22270742358079
15,4,16.4845573804359,1600.20377196054,1.15954432783635,16733.8977223644,8.34268738570936,2.22234273318872
16,1,16.669145749406,1523.74779848776,0.918048361946337,15764.9888861605,6.8539834221891,2.22234273318872
16,2,16.2550356368144,1631.79185215267,0.825288971014398,18682.5293815618,6.694333345292,2.22234273318872
16,3,16.2970238095238,1541.7434218373,0.963241852480166,16130.4095512083,7.06959190457891,2.22291666666667
16,4,16.1235383833249,2001.60655291984,1.28555004853256,19912.3140641637,8.8354493151752,2.22241992882562
17,1,16.3845677099473,1512.18677183969,0.989266766498776,16086.4283677874,7.37634564596233,2.22234273318872
17,2,16.4616258650966,1466.52040833902,0.956377544571609,16062.9177986768,7.07081540020405,2.22234273318872
17,3,16.2209482491478,1388.47875318046,0.781058595588271,14993.4329022776,6.14488623309982,2.22234273318872
17,4,16.6963203463204,1623.83087670779,1.06785114258124,17812.5050596364,7.94322324867995,2.22272727272727
