subject,Task,Sedation,scan,model01_sampling2,model02_sampling2,model03_sampling2,model04_sampling2,model01_sampling2_5,model02_sampling2_5,model03_sampling2_5,model04_sampling2_5,model01_sampling3,model02_sampling3,model03_sampling3,model04_sampling3
14,1,4,46,4.08077424600559,0.00297732654662842,0.0065094095578015,0.0235758651632808,0.616936563209308,0.599973494455216,0.00323061640213416,0.0446402852460413,0.329151546054456,0.00127826155036975,0.08619441522889,0.413140975149215
14,1,4,47,0.00338307247811064,0.0191983157762703,0.0121726309524472,0.0214568166378842,0.00427160292740002,0.0145081930578695,0.00613655582597859,0.017085986590712,0.277337534865272,0.12751431987404,0.0205180710386161,0.0117396047721513
14,1,4,48,0.000883104601919083,0.00127320285387396,0.00871300579966525,0.0217186471022622,0.133644566829156,0.0604323139833806,0.00319536894757158,0.043111191494626,0.104550108465819,0.057889649135799,2.25994116076443,0.559760086882533
14,1,4,49,0.00411526730033774,2.69375177988024,0.00871300579966525,0.0217186471022622,0.840182960888394,2.44096122050709,0.00319536894757158,0.043111191494626,0.00332829618126497,2.52598384512672,2.25994116076443,0.559760086882533
14,1,4,50,0.00411526730033774,0.116611654282208,0.0365807374330535,0.065832647716957,0.840182960888394,0.0622459968313219,0.0523307570945141,0.0119611184217276,0.00332829618126497,0.00263699427711246,0.0119698672891641,0.0135126712009716
14,1,4,51,6.07894871230079,0.116611654282208,0.0365807374330535,0.0535350511466675,0.674694552408931,0.0622459968313219,0.0523307570945141,0.0112915553694374,0.0332234666408019,0.00263699427711246,0.0119698672891641,1.90254890279957
14,1,4,52,0.000802403186490074,0.00124735297840407,0.0365807374330535,0.0535350511466675,0.0120439420621171,0.038419772750054,0.0523307570945141,0.0112915553694374,0.00885224914012733,0.0107276492747477,0.0119698672891641,1.90254890279957
14,1,4,53,0.0019499438632307,0.000813989744958762,0.0989380956741773,1.23806085594729,0.216443106009211,0.00624777062038772,0.0743769656207117,0.527942905773459,0.00116363505574794,0.000774684369677376,0.0337426699323696,0.0232817923470257
14,1,4,54,0.0854743932854481,0.0191983157762703,0.00871300579966525,0.013329199353689,2.26520734016473,0.0145081930578695,0.00319536894757158,0.0109740544124192,0.00180731126835369,0.12751431987404,2.25994116076443,0.00652987801746726
14,1,4,55,0.000883104601919083,0.00127320285387396,0.0121726309524472,0.0217186471022622,0.133644566829156,0.0604323139833806,0.00613655582597859,0.043111191494626,0.104550108465819,0.057889649135799,0.0205180710386161,0.559760086882533
14,1,4,56,0.00411526730033774,0.629992931667765,0.920888121083369,0.269702159128514,0.840182960888394,2.8541937638181,5.75918112172187,0.0580844146095899,0.00332829618126497,6.62045783526887,0.546844030437205,0.406355114361159
14,1,4,57,0.119729610466384,0.116611654282208,0.00566199725296567,0.0828380086193806,0.955168806887112,0.0622459968313219,0.0109239890567321,0.0794567513082237,0.374275488974876,0.00263699427711246,7.42926696868823,0.113855813530715
14,1,4,58,0.119729610466384,0.116611654282208,0.0365807374330535,0.065832647716957,0.955168806887112,0.0622459968313219,0.0523307570945141,0.0119611184217276,0.374275488974876,0.00263699427711246,0.0119698672891641,0.0135126712009716
14,1,4,59,0.00398397086316451,0.0065691106384032,0.55438868116819,1.1255178343459,1.83389706066222,0.0214254701364363,0.0911597138783611,0.195575695590331,0.114400606173518,0.546167159681693,0.337094604083611,0.0304460180384656
14,1,4,60,4.08077424600559,0.0191983157762703,0.00871300579966525,0.0214568166378842,0.616936563209308,0.0145081930578695,0.00319536894757158,0.017085986590712,0.329151546054456,0.12751431987404,2.25994116076443,0.0117396047721513
